file,stratum,camera,sampleFormat,width,height,onDiskCodec,rawBytes,zlib+sh(max).bytes,zlib+sh(max).encMs,zlib+sh(max).decMs,lz4hc+sh.bytes,lz4hc+sh.encMs,lz4hc+sh.decMs,zstd+sh(1).bytes,zstd+sh(1).encMs,zstd+sh(1).decMs,zstd+sh(3).bytes,zstd+sh(3).encMs,zstd+sh(3).decMs,zstd+sh(9).bytes,zstd+sh(9).encMs,zstd+sh(9).decMs,zstd+sh(15).bytes,zstd+sh(15).encMs,zstd+sh(15).decMs,zstd+sh(19).bytes,zstd+sh(19).encMs,zstd+sh(19).decMs,zstd+sh(22).bytes,zstd+sh(22).encMs,zstd+sh(22).decMs
F23 Master Flat B  2024-06-01  0.01x1x64  Z183G000O10@-20.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,46226653,4537.5,63.0,49061973,1570.5,39.5,46737325,143.3,48.4,46642899,106.3,51.2,46376452,453.7,47.3,45852170,4854.9,53.4,45521411,14050.9,42.9,45510903,15411.1,57.0
F5 Master Flat R  2024-01-03  0.09x1x128  Z183G000O10@-20.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,46024976,3620.9,58.8,48671370,1562.8,45.7,46620246,139.9,48.9,46522703,106.1,50.9,46137729,445.1,47.2,45621184,4895.8,42.6,45272911,14552.3,44.5,45265209,16126.7,47.1
F4 Master Flat R  2023-12-16  0.01x1x128  Z183G053O10@-20.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,45761477,3693.7,67.9,48379192,1592.4,41.5,46391222,139.3,49.0,46277276,100.9,61.1,45890723,456.7,45.7,45374425,5609.6,51.9,45025878,13698.1,52.5,45019423,15124.3,63.5
F10 Master Flat B  2023-10-24  0x1x32  Z183G053O10@-20.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,45623274,5317.5,64.1,48466159,1631.5,48.5,46227295,140.4,49.4,46106164,97.9,51.7,45819519,479.3,47.3,45282032,5355.9,43.8,44955327,14396.1,43.2,44947019,15288.1,46.7
F2 Master Flat O  2020-01-05  5.0x1x32  Z183G111O10@-20.0C  APM107R@531  (ESD SGP).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,46412217,4765.3,60.8,49362240,1596.3,41.3,46862479,146.4,55.7,46822379,107.6,45.9,46555861,462.9,46.6,46094964,5833.0,43.0,45748978,14512.7,51.5,45741282,16178.8,46.1
F2 Master Flat L  2021-11-24  0.08x1x256  Z183G053O10@-20.0C  APM107R@531  (WSC SGP).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,45339411,4516.8,56.8,47980171,1557.6,41.2,46011417,135.3,53.2,45881924,98.6,45.8,45521212,428.6,44.5,44968390,4747.2,50.2,44639559,14069.9,43.3,44629638,15103.5,48.6
F2 Master Flat R  2024-10-17  0.05x1x128  Z183G000O10@-10.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,46515993,5320.0,68.1,49636221,1752.3,41.0,47329012,149.8,56.6,47270568,114.2,67.6,46680555,534.7,48.9,46123520,5410.1,56.5,45684342,15835.5,50.7,45661012,19523.1,61.9
F10 Master Flat R  2024-08-14  0x2x128  Z183G000O10@-10.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,2744,1836,zlib+sh,20151936,11569575,1078.5,19.9,12255528,392.0,12.8,11700044,36.2,14.1,11677577,27.3,12.0,11610902,117.8,13.7,11496565,949.4,11.6,11409749,2427.3,14.1,11409749,2378.5,13.5
F1 Master Flat L  2024-06-22  0x1x128  Z183G000O10@-10.0C  APM107R@531  (ESD NINA).xisf,master-flat,Z183,Float32,5496,3672,zlib+sh,80725248,46239738,4050.5,70.6,48971632,1585.4,48.9,46763080,145.2,50.7,46671431,103.3,48.8,46379506,452.4,45.5,45848685,4949.4,42.7,45508048,14043.1,47.9,45501005,15119.9,44.7
O3 Elephant's Trunk Nebula.xisf,other-sub,ZWO ASI183MM Pro,Float32,4488,3652,zlib+sh,65560704,42486135,849.7,74.0,46314638,943.8,32.7,41659358,92.9,36.4,41705289,113.9,37.7,41923224,244.7,39.7,41925202,1605.0,40.0,41658021,10122.0,34.7,41655553,10681.6,36.0
HA Elephant's Trunk Nebula.xisf,other-sub,ZWO ASI183MM Pro,Float32,4488,3652,zlib+sh,65560704,47649263,1019.6,69.7,49704071,1128.3,30.2,47567738,104.8,50.9,47571688,69.0,44.1,47520510,116.8,43.5,47514432,603.9,39.9,47510952,9332.8,37.6,47480563,14072.2,39.4
HFG1 Color Reference.xisf,other-sub,Z183,UInt8,2048,1364,,8380416,4704497,537.8,20.4,5627465,233.8,2.3,4626783,26.4,8.5,4664579,37.1,7.3,4539145,182.5,9.2,4425788,1361.1,18.5,4330583,2830.9,9.9,4330583,2769.3,9.4
SNRWeight 256 Local Normialization Integration.xisf,other-sub,ZWO ASI183MM Pro,Float32,5496,3672,,80725248,60949658,7907.7,100.6,65183575,1779.4,49.6,61741455,160.9,62.5,61703170,101.8,63.4,61215147,396.9,54.7,60904615,3067.1,51.2,60559938,18528.7,54.6,60556736,19888.0,55.2
HFG1 Reference.xisf,other-sub,Z183,Float32,5496,3672,zstd+sh,80725248,60819445,2999.3,85.5,63028822,1573.1,40.0,61312388,166.8,72.4,61342918,119.9,56.3,61047908,282.7,55.7,60851413,1609.9,59.5,60586166,15568.0,52.0,60573142,18154.5,50.6
SNRWeight Integration.xisf,other-sub,ZWO ASI183MM Pro,Float32,5496,3672,,80725248,60588536,13206.9,106.7,66425629,1907.8,40.7,61286682,162.4,77.6,61217579,106.3,70.7,60765368,442.4,60.9,60391617,4217.6,54.7,60031634,18865.2,59.7,60027938,21343.1,58.6
